id,id_grupo,categoria,tipo_producto,titulo,pais,ano,titulo_libro,autores,tipologia
00609,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Modulo educativo. La investigación social,Colombia,2008,Kit Educativo: Universidades Preventivas,GUSTAVO ADOLFO CALDERON VALLEJO,1
00610,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Opioides,Uruguay,2007,Programa Nacional de Atención a usuarios problemático de drogas. Ministerio de Salud Pública. Junta Nacional de Drogas,GUILLERMO ALONSO CASTANO PEREZ,1
00611,011,Capítulos de libro publicados,Otro capítulo de libro publicado,PROGRAMAS DE PREVENCION E INTERVENCIONES CULTURALMENTE APROPIADAS,Colombia,2005,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano,GUILLERMO ALONSO CASTANO PEREZ,1
00612,011,Capítulos de libro publicados,Otro capítulo de libro publicado,EL ENFOQUE PROPOSITIVO EN LA INTERVENCION DE PROBLEMATICAS SOCIALES. LOS FACTORES PROTECTORES,Colombia,2005,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano,GUILLERMO ALONSO CASTANO PEREZ,1
00613,011,Capítulos de libro publicados,Otro capítulo de libro publicado,UN NUEVO PARADIGMA: EL ENFOQUE PROPOSITIVO EN LA INTERVENCION DE PROBLEMATICAS SOCIALES,Colombia,2005,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano,GUILLERMO ALONSO CASTANO PEREZ,1
00614,011,Capítulos de libro publicados,Otro capítulo de libro publicado,PROYECTO FORMACION DE FORMADORES EN PREVENCION INTEGRAL: ESTRATEGIA DE DESARROLLO HUMANO Y COMUNITARIO. BREVE SINTESIS Y MEMORIA METODOLOGICA,Colombia,2005,Serie Formándonos En Prevención Integral. Módulo 1. Formando Formadores,GUILLERMO ALONSO CASTANO PEREZ,1
00615,011,Capítulos de libro publicados,Otro capítulo de libro publicado,EL ENFOQUE DE RIESGO EN LA PREVENCION DE PROBLEMATICAS SOCIALES,Colombia,2005,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano,GUILLERMO ALONSO CASTANO PEREZ,1
00616,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Elementos teoricos y practicos de la prevencion integral propositiva,Colombia,2005,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano,ANGELA MARIA PARRA BASTIDAS,1
00617,011,Capítulos de libro publicados,Otro capítulo de libro publicado,Conceptualización del desarrollo humano para la acción de prevención integral,Colombia,2005,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano,GUSTAVO ADOLFO CALDERON VALLEJO,1
00618,011,Capítulos de libro publicados,Otro capítulo de libro publicado,La calidad de vida para la prevención integral,Colombia,2005,Serie Formandonos En Prevención Integral.Prevención Y Desarrollo Humano,GUSTAVO ADOLFO CALDERON VALLEJO,1
