id_investigador,id_prod
0089,01956
0095,01957
0095,01958
0095,01959
0095,01960
0095,01961
0093,01967
0090,01969
0095,01974
0095,01975
0090,01976
0090,01977
0095,01978
0090,01981
0090,01983
0090,01984
0090,01985
0090,01986
0093,01987
0093,01988
0093,01989
0093,01990
0089,01991
0095,01992
0095,01993
0095,01994
0095,01995
0095,01996
0089,01997
0089,01998
0089,01999
0089,02000
0095,02004
0095,02005
0092,02014
0093,02014
0093,02015
0093,02016
0092,02017
0093,02017
0088,02018
0093,02019
0090,02021
0089,02022
0089,02023
0089,02024
0089,02025
0089,02026
0089,02027
0089,02028
0089,02029
0093,02030
0088,02032
0088,02034
0088,02038
0093,02041
0088,02042
0088,02043
0088,02044
0093,02045
0093,02046
0093,02047
0093,02048
0093,02049
0093,02050
0093,02051
0092,02052
0093,02053
0130,02054
0130,02055
0130,02056
0130,02057
0130,02058
0130,02059
0130,02060
0092,02061
0093,02062
0093,02063
0088,02064
0093,02065
0088,02066
0088,02067
0088,02068
0088,02069
0088,02070
0088,02071
0093,02072
0130,02073
0130,02074
0130,02075
0130,02076
0130,02077
0093,02078
0088,02079
0130,02080
0130,02081
0130,02082
0130,02083
0130,02084
0130,02085
0130,02086
0130,02087
0130,02088
0130,02089
0088,02090
0088,02091
0088,02092
0088,02093
0088,02094
0130,02095
0130,02096
0088,02097
0130,02098
0130,02099
0130,02100
0130,02101
0130,02102
0130,02103
0130,02104
0130,02105
0088,02106
0088,02107
0088,02108
0088,02109
0088,02110
0088,02111
0088,02112
0088,02113
0088,02114
0088,02115
0088,02116
0088,02117
0088,02118
0088,02119
0088,02120
0088,02121
0088,02122
0088,02123
0088,02124
0088,02125
0088,02126
0088,02127
0088,02128
0088,02129
0088,02130
0088,02131
0088,02132
0088,02133
0088,02134
0088,02135
0088,02136
0088,02137
0088,02138
0088,02139
0088,02140
0088,02141
0088,02142
0088,02143
0088,02144
0088,02145
0088,02146
0088,02147
0088,02151
0088,02152
0088,02155
0088,02156
0088,02157
0088,02158
0088,02159
0088,02160
0088,02161
0088,02162
0088,02163
0088,02164
0088,02184
0088,02185
0088,02186
0088,02187
0088,02188
0088,02189
0088,02190
0088,02191
0088,02192
0088,02193
0088,02194
0088,02195
0088,02196
0088,02197
0088,02198
0088,02199
0088,02200
0088,02201
0088,02202
0088,02203
0088,02204
0088,02205
0088,02206
0088,02207
0088,02208
0093,02210
0088,02211
0088,02212
0088,02213
0088,02214
0088,02215
0088,02216
0088,02217
0088,02218
0088,02219
0088,02220
0088,02221
0088,02222
0088,02223
0088,02224
0088,02225
0088,02226
0088,02227
0088,02228
0088,02229
0088,02230
0088,02231
0088,02232
0088,02233
0088,02234
0088,02235
0088,02236
0088,02237
0088,02238
0088,02239
0088,02240
0088,02241
0088,02242
0130,02243
0130,02244
0072,02245
0072,02246
0072,02247
0072,02248
0072,02249
0072,02250
0072,02251
0072,02252
0072,02253
0072,02254
0072,02255
0072,02256
0088,02257
0088,02258
0088,02259
0088,02260
0088,02261
0088,02262
0088,02263
0088,02264
0088,02265
0088,02266
0088,02267
0088,02268
0088,02269
0088,02270
0088,02271
0088,02272
0088,02273
0088,02274
0088,02275
0088,02276
0088,02277
0088,02278
0088,02279
0088,02280
0088,02281
0088,02282
0088,02283
0088,02284
0088,02285
0088,02286
0088,02287
0088,02288
0088,02289
0088,02290
0088,02291
0088,02292
0088,02293
0088,02294
0088,02295
0088,02296
0088,02297
0088,02298
0088,02299
0088,02300
0088,02301
0088,02302
0088,02303
0096,02308
0098,02309
0098,02310
0098,02311
0098,02312
0099,02313
0098,02315
0098,02316
0096,02317
0096,02318
0096,02319
0098,02320
0096,02323
0096,02324
0096,02326
0098,02331
0097,02332
0099,02333
0097,02334
0097,02335
0100,02336
0055,02337
0055,02338
0055,02339
0055,02340
0099,02341
0098,02343
0101,02344
0101,02345
0096,02350
0096,02351
0096,02352
0096,02353
0100,02359
0100,02360
0101,02361
0096,02362
0096,02363
0100,02364
0101,02365
0101,02366
0101,02367
0100,02368
0100,02369
0100,02370
0096,02371
0096,02372
0101,02373
0098,02374
0098,02375
0101,02376
0096,02377
0098,02379
0096,02380
0096,02381
0096,02382
0096,02383
0097,02384
0097,02385
0101,02388
0055,02394
0096,02398
0100,02406
0100,02408
0100,02409
0100,02410
0100,02411
0098,02412
0098,02413
0100,02414
0100,02415
0100,02416
0100,02417
0096,02418
0097,02423
0097,02424
0100,02425
0100,02426
0100,02427
0098,02432
0055,02433
0055,02434
0055,02435
0098,02437
0098,02438
0098,02439
0096,02446
0100,02447
0096,02451
0096,02452
0096,02453
0096,02454
0096,02455
0100,02456
0098,02458
0096,02462
0096,02463
0096,02464
0100,02465
0097,02467
0055,02468
0055,02469
0055,02470
0055,02471
0055,02473
0097,02495
0099,02496
0096,02498
0096,02499
0096,02500
0096,02501
0096,02502
0098,02503
0098,02504
0098,02505
0098,02506
0098,02507
0098,02508
0069,02509
0097,02511
0096,02516
0096,02517
0096,02518
0099,02519
0100,02522
0100,02523
0096,02524
0096,02525
0096,02526
0096,02527
0100,02528
0098,02529
0096,02532
0096,02534
0096,02536
0098,02544
0098,02545
0098,02546
0098,02547
0098,02548
0098,02549
0098,02550
0098,02551
0098,02552
0098,02553
0098,02554
0098,02555
0096,02556
0100,02560
0096,02561
0096,02562
0096,02563
0096,02564
0096,02565
0096,02566
0097,02572
0096,02575
0097,02576
0098,02578
0096,02579
0096,02580
0096,02581
0096,02583
0096,02584
0096,02585
0096,02586
0096,02587
0096,02588
0096,02589
0096,02590
0100,02595
0100,02596
0100,02597
0097,02598
0055,02599
0055,02600
0055,02601
0055,02602
0055,02603
0055,02604
0055,02606
0098,02612
0098,02613
0098,02614
0055,02616
0055,02617
0055,02618
0055,02619
0055,02620
0100,02627
0100,02628
0100,02631
0100,02635
0100,02636
0100,02637
0098,02638
0100,02639
0098,02640
0098,02641
0098,02643
0098,02644
0100,02645
0100,02646
0098,02647
0098,02648
0099,02649
0100,02650
0100,02651
0098,02653
0099,02657
0097,02660
0099,02661
0097,02664
0097,02667
0097,02668
0097,02671
0097,02672
0097,02676
0099,02721
0099,02722
0099,02723
0099,02724
0099,02725
0099,02726
0099,02727
0099,02728
0099,02729
0099,02730
0099,02735
0099,02736
0099,02742
0099,02743
0099,02744
0104,02921
0104,02922
0104,02923
0111,02924
0111,02925
0111,02926
0111,02927
0107,02928
0105,02929
0107,02930
0107,02931
0107,02932
0107,02933
0104,02934
0110,02936
0104,02940
0107,02941
0105,02943
0111,02944
0110,02945
0110,02946
0111,02947
0111,02948
0111,02949
0110,02950
0110,02951
0111,02952
0111,02953
0111,02954
0104,02955
0104,02956
0110,02957
0105,02963
0108,02964
0105,02965
0105,02966
0105,02967
0105,02968
0104,02969
0108,02970
0108,02971
0105,02972
0104,02973
0105,02974
0105,02975
0107,02976
0105,02977
0105,02978
0105,02979
0104,02980
0105,02981
0105,02982
0105,02983
0105,02984
0110,02985
0110,02986
0110,02987
0110,02988
0110,02989
0110,02990
0110,02991
0110,02992
0110,02993
0110,02994
0110,02995
0110,02996
0110,02997
0110,02998
0110,02999
0107,03000
0107,03001
0107,03002
0105,03003
0104,03004
0105,03005
0110,03006
0110,03007
0110,03008
0110,03009
0110,03010
0107,03011
0105,03012
0105,03013
0104,03014
0105,03015
0110,03016
0110,03017
0110,03018
0110,03019
0110,03020
0104,03021
0104,03022
0108,03023
0112,03027
0112,03028
0105,03041
0105,03043
0105,03056
0112,03067
0105,03075
0112,03079
0112,03080
