id,id_grupo,categoria,tipo_producto,titulo,pais_revista,revista,ano,autores,ISSN,tipologia,cuartil_scimago,categoria_publindex,ano_fuente_cuartil,ano_fuente_publindex
00439,003,Artículos publicados,Publicado en revista especializada,EDADISMO E INCLUSIÓN LABORAL DE PERSONAS MAYORES EN LA EMPRESA ANTIOQUEÑA,Venezuela,TELOS REVISTA DE ESTUDIOS INTERDISCIPLINARIOS EN CIENCIAS SOCIALES,2026,"JUAN GUILLERMO SALDARRIAGA RIOS, DIANA MARCELA CASTANO SERNA, VANESSA M TOVAR VALDERRAMA, JOAN SEBASTIAN CARDONA GALLEGO",13170570,1,No indexada en Scopus,C,,2015
00906,006,Artículos publicados,Publicado en revista especializada,"La Transformación del Inglés como Segunda Lengua (ESL) y del Inglés como Lengua Extranjera (EFL): El Impacto de la Tecnología, la Inteligencia Artificial y los Entornos Digitales de Aprendizaje en los Métodos de Enseñanza de ESL/EFL",México,Ciencia latina,2026,JUAN DE DIOS MARIN MURILLO,27072215,1,No indexada en Scopus,No clasificada en Publindex,,
00907,006,Artículos publicados,Publicado en revista especializada,Autoevaluación institucional como estrategia para caracterizar la apropiación tecnológica escolar,Costa Rica,REVISTA EDUCACION,2026,"JUAN SEBASTIAN ZULUAGA GOMEZ, CARLOS ANDRES CARDONA ARTEAGA",03797082,1,No indexada en Scopus,C,,2015
01126,007,Artículos publicados,Publicado en revista especializada,Deporte para todos: una revisión sistemática utilizando la herramienta PRISMA,España,REVISTA IBEROAMERICANA DE CIENCIAS DE LA ACTIVIDAD FISICA Y EL DEPORTE,2026,CAROLINA VASQUEZ LOPEZ,22550461,1,No indexada en Scopus,No clasificada en Publindex,,
01248,008,Artículos publicados,Publicado en revista especializada,Competencias del psicólogo practicante en formación: un estudio cualitativo fenomenológico descriptivo-interpretativo desde campos ocupacionales,Perú,PSIQUEMAG,2026,"BLANCA NUBIA PATINO SALAZAR, TOMAS JAIME QUEVEDO ZAPATA, ROBINSSON CARDONA CANO, JERRI ALEJANDRO LOPEZ SANCHEZ",23070846,1,Q4,No clasificada en Publindex,2025,
01249,008,Artículos publicados,Publicado en revista especializada,Relational patterns in four girls exposed to domestic violence: A case study,Inglaterra,CHILD ABUSE NEGLECT,2026,"TOMAS JAIME QUEVEDO ZAPATA, BLANCA NUBIA PATINO SALAZAR, ROBINSSON CARDONA CANO, JERRI ALEJANDRO LOPEZ SANCHEZ",18737757,1,Q1,A1,2025,2022
01250,008,Artículos publicados,Publicado en revista especializada,El reconocimiento a los sobrevivientes del conflicto político armado colombiano en el marco de los procesos de reconciliación social,Colombia,REVISTA VIRTUAL UNIVERSIDAD CATOLICA DEL NORTE,2026,"PAULA VANESSA SANCHEZ AGUDELO, ANGELA MARITZA CARDONA CARDONA",01245821,1,No indexada en Scopus,B,,2023
01251,008,Artículos publicados,Publicado en revista especializada,"De la ciudad al campo: dinámicas socioespaciales y relacionales de la migración por amenidades en el Oriente Antioqueño, Colombia",Colombia,CUADERNOS DE DESARROLLO RURAL,2026,KATY LUZ MILLAN OTERO,01221450,1,Q4,B,2025,2020
01252,008,Artículos publicados,Publicado en revista especializada,Geografías maritoriales de la comunidad étnica raizal en Colombia,Chile,REVISTA DE GEOGRAFIA NORTE GRANDE,2026,"JORGE EDUARDO VASQUEZ SANTAMARIA, KATY LUZ MILLAN OTERO",07183402,1,Q3,B,2025,2022
01253,008,Artículos publicados,Publicado en revista especializada,Perspectivas de la psicología ambiental en Colombia. Exploración analítica desde las voces de los expertos,Costa Rica,REVISTA COSTARRICENSE DE PSICOLOGIA,2026,"KATY LUZ MILLAN OTERO, WILLIAN SIERRA BARON, ERIKA JUDITH LOPEZ SANTAMARIA",16592913,1,No indexada en Scopus,C,,2022
01254,008,Artículos publicados,Publicado en revista especializada,El lugar de la No valía en las subjetividades femeninas de mujeres víctimas de violencias basadas en género,Colombia,REVISTA VIRTUAL UNIVERSIDAD CATOLICA DEL NORTE,2026,"MAGDA VICTORIA DIAZ ALZATE, NICOLASA MARIA DURAN PALACIO",01245821,1,No indexada en Scopus,B,,2023
01255,008,Artículos publicados,Publicado en revista especializada,Conditions of human development in Wayuu child malnutrition,Colombia,REVISTA COLOMBIANA DE CIENCIAS SOCIALES,2026,"JOSE CAMILO PIMIENTA ARISMENDY, JOHN JAIRO GARCIA PENA",22161201,1,No indexada en Scopus,B,,2021
00300,002,Artículos publicados,Publicado en revista especializada,Un Estudio de Fenomenológia del Derecho sobre la Formalización de la Gestión del Riesgo de Desastres en Colombia,Chile,REVISTA DE ESTUDIOS LATINOAMERICANOS SOBRE REDUCCION DEL RIESGO DE DESASTRES,2026,"LEIDYS HELENA RIVERA QUIROZ, JORGE EDUARDO VASQUEZ SANTAMARIA",07198477,1,Q3,No clasificada en Publindex,2025,
02016,014,Artículos publicados,Publicado en revista especializada,Multilingual un/learning for decolonizing management and organization studies research and education,Reino Unido,MANAGEMENT LEARNING,2026,CANDY LORENA CHAMORRO GONZALEZ,14617307,1,Q1,A1,2025,2022
00574,004,Artículos publicados,Publicado en revista especializada,"Mapeo y perspectivas de investigación del neuromarketing y la toma de decisiones: herramientas neurocientíficas, decisiones de compra y reflexiones éticas",,Cuadernos Latinoamericanos De Administración,2026,"GABRIEL ANTONIO MOYANO LONDONO, ANDRES FELIPE GOMEZ OSORIO, DAVID MAURICIO OSORIO DIAZ",22486011,1,No indexada en Scopus,C,,2023
02018,014,Artículos publicados,Publicado en revista especializada,"ANTÔNIO LOPES DE SÁ: PHILOSOPHY, EPISTEMOLOGY, AND ACCOUNTING RENEWAL FROM LATIN AMERICA",Grecia,SCIENTIFIC CULTURE,2026,"ORLANDO CARMELO CASTELLANOS POLO, NELVIS ESTER NAVARRO CHARRIS, ENOC BARRIENTOS PEREZ",24080071,1,Q2,No clasificada en Publindex,2025,
00005,001,Artículos publicados,Publicado en revista especializada,"Influence of manganese on the colorimetric and magnetic properties of cobalt ferrite inorganic pigments synthesised by solution combustion and their applications as paints on cement, plaster and wood",Estados Unidos,COLORATION TECHNOLOGY,2026,"EDGAR ANDRES CHAVARRIAGA MIRANDA, ALEX ARBEY LOPERA SEPULVEDA, TIAGO WERMUTH, SABRINA ARCARO, CLAUDIA PATRICIA GARCIA GARCIA, JAVIER ALARCON NAVARRO, CARLOS BERGMANN",14784408,1,Q2,A2,2025,2022
