id,id_grupo,nombre,vinculacion,horas_dedicacion,inicio_vinculacion,fin_vinculacion,url_x,grupo 2,clasificación,posgrade,id_scholar,orcid,h_index,articulos,softwares,trabajos_dirigidos,capitulos,libros,innovaciones
0061,005,JUAN DIEGO BETANCUR ARIAS,Integrante,10,2015-2-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000988928,,Investigador Senior (IS),Doctorado,Rb881xwAAAAJ,0000-0003-3340-8670,8.0,15,1,53,9,4,41
0062,005,JUAN FRANCISCO PALOMARES GOMEZ,Integrante,0,2024-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001568608,,Sin clasificar,Maestría/Magister,,,,3,0,38,0,0,0
0063,005,JULIO ANTONIO OLIVERA LA ROSA,Integrante,13,2014-7-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001578351,,Investigador Senior (IS),Doctorado,p1jzZwMAAAAJ,0000-0001-7637-8518,11.0,37,0,16,5,1,0
0064,005,OMAR AUGUSTO AMADOR SANCHEZ,Integrante,4,2019-8-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001338634,,Investigador Junior (IJ),Maestría/Magister,2EdSYP0AAAAJ,0000-0001-6013-8480,4.0,9,0,10,2,2,22
0065,006,CARMEN YSABEL MARTINEZ DE MERINO,Integrante,20,2018-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000031091,,Investigador Senior (IS),Doctorado,a5eJhxMAAAAJ,0000-0002-8134-2306,7.0,26,0,13,33,1,6
0066,006,LEISY MAGDALI ARROYAVE TABORDA,Integrante,8,2021-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000113376,,Investigador Asociado (I),Doctorado,KVBCFWkAAAAJ,0000-0003-3982-2805,5.0,17,0,7,4,0,0
0067,006,ADRIANA MARIA GALLEGO HENAO,Integrante,18,2007-2-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000961124,,Investigador Senior (IS),Doctorado,zts5sHIAAAAJ,0000-0003-2952-1603,13.0,36,0,58,11,1,0
0068,006,CRUZ ELENA GARCIA CARMONA,Integrante,6,2025-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001612238,,Sin clasificar,Maestría/Magister,,,,0,0,9,0,0,0
0069,006,EDISON FERNEY CASTRILLON ANGEL,Integrante,10,2021-11-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001720164,,Investigador Asociado (I),Doctorado,zXo78i4AAAAJ,0000-0001-9237-1084,3.0,78,0,40,3,0,0
0070,006,ENID DANIELA VARGAS MESA,Integrante,5,2018-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000144952,,Investigador Junior (IJ),Maestría/Magister,Y-Iyf5YAAAAJ,0000-0003-2228-2072,3.0,7,0,7,2,4,0
0071,006,JAIRO GUTIERREZ AVENDANO,Integrante,22,2014-7-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000810339,FILOSOFÍA Y TEOLOGÍA CRÍTICA,Investigador Senior (IS),Doctorado,CQb-NwwAAAAJ,0000-0002-0642-0722,7.0,38,0,15,9,38,0
0072,006,JOHN JAIRO BLANDON MENA,Integrante,5,2022-1-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001633138,,Sin clasificar,Doctorado,,,,1,0,0,1,1,0
0073,006,JOSE VICENTE ABAD OLAYA,Integrante,21,2013-3-1,Actual,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001367136,,Investigador Asociado (I),Doctorado,trVcxggAAAAJ,0000-0002-1548-9043,4.0,51,0,51,8,1,0
